"","term","hazard_ratio","std.error","statistic","p.value","conf.low","conf.high"
"1","PC3",0.912525070113741,0.0272552496312211,-3.35860874672697,0.00078335892216634,0.865057735986531,0.96259702554588
"2","PC4",1.08384230882431,0.0225877356482717,3.56443080992557,0.000364646621253889,1.03690599322273,1.13290323141694
"3","tumor_size",1.02204884212238,0.00429157865052656,5.08187852115749,3.73720399002911e-07,1.01348809637477,1.0306818988996
"4","node_statuspos",1.79083409449079,0.147602060684917,3.94765142974476,7.89215987243473e-05,1.34096132425403,2.39163255194906
"5","age",1.00315530301107,0.00702998565374254,0.448128295604478,0.654060608109303,0.989428096375384,1.01707295926376
